"",Title,Year,Rated,Genre
204,Guardians of the Galaxy Vol. 2,2017,PG-13,"Action, Adventure, Sci-Fi"
205,Pirates of the Caribbean: The Curse of t...,2003,PG-13,"Action, Adventure, Fantasy"
206,Before Sunset,2004,R,"Drama, Romance"
207,The Imitation Game,2014,PG-13,"Biography, Drama, Thriller"
208,Young Frankenstein,1974,PG,Comedy
209,Stalag 17,1953,NOT RATED,"Drama, War"
210,Dogville,2003,R,"Crime, Drama"
211,Dead Poets Society,1989,PG,"Comedy, Drama"
212,High Noon,1952,PG,"Drama, Thriller, Western"
213,Papillon,1973,R,"Biography, Crime, Drama"
214,A Streetcar Named Desire,1951,PG,Drama
215,Arsenic and Old Lace,1944,NOT RATED,"Comedy, Crime, Thriller"
216,Sin City,2005,R,"Crime, Thriller"
217,The Hustler,1961,UNRATED,"Drama, Sport"
218,A Night at the Opera,1935,PASSED,"Comedy, Music, Musical"
219,The Killing,1956,APPROVED,"Crime, Drama, Film-Noir"
220,The Avengers,2012,PG-13,"Action, Sci-Fi"
221,Notorious,1946,APPROVED,"Drama, Film-Noir, Romance"
222,Harvey,1950,NOT RATED,"Comedy, Drama, Fantasy"
223,The Martian,2015,PG-13,"Adventure, Drama, Sci-Fi"
224,The Exorcist,1973,R,Horror
225,Rio Bravo,1959,NOT RATED,"Action, Drama, Western"
226,The Philadelphia Story,1940,NOT RATED,"Comedy, Romance"
227,Rope,1948,APPROVED,"Crime, Drama, Thriller"
228,The Big Sleep,1946,APPROVED,"Crime, Film-Noir, Mystery"
229,Pink Floyd: The Wall,1982,R,"Animation, Drama, Fantasy"
230,The King's Speech,2010,R,"Biography, Drama"
231,A Christmas Story,1983,PG,"Comedy, Family"
232,The Graduate,1967,APPROVED,"Comedy, Drama"
233,JFK,1991,R,"Drama, History, Thriller"
234,Sling Blade,1996,R,Drama
235,Blood Diamond,2006,R,"Adventure, Drama, Thriller"
236,Magnolia,1999,R,Drama
237,Rain Man,1988,R,Drama
238,The Revenant,2015,R,"Adventure, Drama, Thriller"
239,The Nightmare Before Christmas,1993,PG,"Animation, Family, Fantasy"
240,The Manchurian Candidate,1962,PG-13,"Drama, Thriller"
241,Deadpool,2016,R,"Action, Adventure, Comedy"
242,The Wild Bunch,1969,R,"Action, Adventure, Western"
243,Aladdin,1992,G,"Animation, Adventure, Comedy"
244,Big Fish,2003,PG-13,"Adventure, Drama, Fantasy"
245,Patton,1970,GP,"Biography, Drama, War"
246,The Lost Weekend,1945,NOT RATED,"Drama, Film-Noir"
247,Short Term 12,2013,R,Drama
248,His Girl Friday,1940,APPROVED,"Comedy, Drama, Romance"
249,The Straight Story,1999,G,"Biography, Drama"
250,Slumdog Millionaire,2008,R,Drama
